"spec";"h_iter";"eta_gzt_mitt";"eta_gzg_mitt";"sig_gzt_mitt";"sig_gzg_mitt";"w_iter";"gam_ks";"gam_ku";"ei_eff_gzg";"ei_eff_gzt"
"SPEC_1";0.1;3.81909042329105;1.94065850978311;4.3932270169258;2.2324041724205;24.981674194336;0.269603571297369;0.207323875182343;25102982.45;22714541.94
"SPEC_1";0.095;3.15538118349162;1.48940670148285;3.6297401547432;1.71331417560577;25.0086288452149;0.278596620141152;0.215182670557622;25302338.45;22907607.31
"SPEC_1";0.09;2.45889421477935;1.01637581195461;2.82854797840118;1.16917097568512;25.024935722351;0.288277762617028;0.223696926432501;25484585.06;23088421.04
"SPEC_1";0.085;1.72689554484745;0.519242762690245;1.98650550842285;0.597302258014679;25.0349264144897;0.29874601422784;0.232962741155085;25647348.45;23255021.44
"SPEC_1";0.08;0.955492271025676;0.000349221641526502;1.0991346091032;-0.00593676790595054;25.0435733795166;0.310118090384561;0.243094686324327;25787643.21;23405090.38
"SPEC_1";0.08;0.955492271025676;0.000349221641526502;1.0991346091032;-0.00593676790595054;25.0435733795166;0.310118090384561;0.243094686324327;25787643.21;23405090.38
"SPEC_1";0.08;0.955492271025676;0.000349221641526502;1.0991346091032;-0.00593676790595054;25.0435733795166;0.310118090384561;0.243094686324327;25787643.21;23405090.38
"SPEC_1";0.08;0.955492271025676;0.000349221641526502;1.0991346091032;-0.00593676790595054;25.0435733795166;0.310118090384561;0.243094686324327;25787643.21;23405090.38
"SPEC_1";0.08;0.955492271025676;0.000349221641526502;1.0991346091032;-0.00593676790595054;25.0435733795166;0.310118090384561;0.243094686324327;25787643.21;23405090.38
"SPEC_2";0.1;3.09886532187704;1.52382467906049;3.56472807526589;1.75290632247925;13.361620426178;0.254713132396478;0.185122642195984;24573303.49;21740054.27
"SPEC_2";0.095;2.60946259433655;1.19130143701978;3.00175180435181;1.37039375305176;13.3848185539246;0.264993017132061;0.193295039837465;24826079.34;21965994.06
"SPEC_2";0.09;2.09653303869149;0.843722357054926;2.41171183884144;0.97056195139885;13.3990812301636;0.276039952017103;0.202160567844364;25063790.74;22182817.17
"SPEC_2";0.085;1.55832239231556;0.479484111355616;1.79259019196034;0.551566556096077;13.4066009521484;0.287946199393821;0.211812467723893;25283061.85;22387702.01
"SPEC_2";0.08;0.992109534343891;0.0962707200833798;1.14125666767359;0.110743418335915;13.4098978042603;0.300821367861846;0.222362639088276;25480851.52;22578384.24
"SPEC_2";0.08;0.992109534343891;0.0962707200833798;1.14125666767359;0.110743418335915;13.4098978042603;0.300821367861846;0.222362639088276;25480851.52;22578384.24
"SPEC_2";0.08;0.992109534343891;0.0962707200833798;1.14125666767359;0.110743418335915;13.4098978042603;0.300821367861846;0.222362639088276;25480851.52;22578384.24
"SPEC_2";0.08;0.992109534343891;0.0962707200833798;1.14125666767359;0.110743418335915;13.4098978042603;0.300821367861846;0.222362639088276;25480851.52;22578384.24
"SPEC_2";0.08;0.992109534343891;0.0962707200833798;1.14125666767359;0.110743418335915;13.4098978042603;0.300821367861846;0.222362639088276;25480851.52;22578384.24
"SPEC_3";0.1;5.19497047400551;2.80399886948998;5.975947701931;3.22553336620331;48.8382186889648;0.261709073230834;0.21277862386642;24825179.68;22943169
"SPEC_3";0.095;4.27638229789061;2.17650642052349;4.91926510334016;2.50370788574219;48.8969249725341;0.268780610493684;0.219492851165413;24960479.26;23085424.57
"SPEC_3";0.09;3.31014571622364;1.51665688804598;3.80777095556259;1.74466097354889;48.9431133270264;0.276501880732118;0.22682037535906;25079848.03;23214944.08
"SPEC_3";0.085;2.29209592915106;0.821081253799001;2.6366743505001;0.944517135620117;48.9853382110596;0.284975345119209;0.234858142538209;25181046.89;23330360.5
"SPEC_3";0.08;1.21649297051967;0.0852742007040556;1.39937241375446;0.0980937555432319;49.0334377288818;0.294319742371066;0.243720358479561;25262254.24;23429393.79
"SPEC_3";0.075;0.0755162215520423;0.0471474195227903;0.0868688268586993;-0.801506131887435;49.0989055633545;0.304673275643263;0.253542340093323;25320374.18;23509943.03
"SPEC_3";0.075;0.0755162215520423;0.0471474195227903;0.0868688268586993;-0.801506131887435;49.0989055633545;0.304673275643263;0.253542340093323;25320374.18;23509943.03
"SPEC_3";0.075;0.0755162215520423;0.0471474195227903;0.0868688268586993;-0.801506131887435;49.0989055633545;0.304673275643263;0.253542340093323;25320374.18;23509943.03
"SPEC_3";0.075;0.0755162215520423;0.0471474195227903;0.0868688268586993;-0.801506131887435;49.0989055633545;0.304673275643263;0.253542340093323;25320374.18;23509943.03
"SPEC_4";0.1;1.95875706292;0.996649308468563;2.25322354137897;1.146478921175;12.8236842155457;0.269636022698685;0.207344359809636;25104106.43;22715406.7
"SPEC_4";0.095;1.61854476988816;0.765074071453054;1.86186600029469;0.880090206861496;12.8375201225281;0.278630733105532;0.215204288487125;25303506.26;22908505.97
"SPEC_4";0.09;1.26154342619311;0.522332497521851;1.45119545459747;0.600856482982636;12.8458895683289;0.288313647558134;0.223719840628649;25485794.96;23089355.85
"SPEC_4";0.085;0.886356526614963;0.267234458435587;1.01960545778275;0.307408705353737;12.8510179519653;0.29878383841675;0.232987107120659;25648599.65;23255993.37
"SPEC_4";0.085;0.886356526614963;0.267234458435587;1.01960545778275;0.307408705353737;12.8510179519653;0.29878383841675;0.232987107120659;25648599.65;23255993.37
"SPEC_4";0.085;0.886356526614963;0.267234458435587;1.01960545778275;0.307408705353737;12.8510179519653;0.29878383841675;0.232987107120659;25648599.65;23255993.37
